Reaction	FG	onDNAincompatible	offDNAincompatible
0.0.0_NO_REACTION_FROM_Null_AND_Null	GUANIDINES_SECONDARY_SECONDARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	GUANIDINES_TERTIARY_PRIMARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	GUANIDINES_TERTIARY_SECONDARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	calc_NAS_ELECTROPHILE	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	O_AMINO_PHENOLS	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	O_AMINO_THIOPHENOLS	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	O_IODO_SEC_ANILINE	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	TRIAZINE_DICHLORO	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	TRIAZINE_MONOCHLORO	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	ARMINES_AROMATIC_SECONDARY_1	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	calc_SEC_ALIPHATIC_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	NO_FG	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	ALDEHYDES	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	ALKYNES_TERMINAL	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	AMINES_ALIPHATIC_SECONDARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	AZIDE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	CARBOXYLIC_ACIDS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	THIOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	calc_THIOPHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	calc_NITRO	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	calc_PHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	SEC_FMOC	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	SULFONYL_CHLORIDES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	BORONICS_AROMATIC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	TERT_FMOC	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	ESTERS_METHYL_ETHYL	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	NITRO_FLUORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	SEC_ANILINE_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	TERT_ANILINE_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	O_NITRO_SEC_ANILINE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	calc_ARYLHALIDE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	AMINES_ALIPHATIC_PRIMARY	1	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	calc_AMINES_AROMATIC_PRIMARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	ISOCYANATES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	ISOTHIOCYANATES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	O_IODO_ANILINE	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	HYDRAZINES_PRIMARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	A_H_KETONES	1	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	KETONES_A_BROMO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	YNONES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	AMIDINES_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	AMIDINES_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	GUANIDINES_SECONDARY_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	GUANIDINES_SECONDARY_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	GUANIDINES_TERTIARY_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	GUANIDINES_TERTIARY_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	calc_NAS_ELECTROPHILE	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	O_AMINO_PHENOLS	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	O_AMINO_THIOPHENOLS	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	O_IODO_SEC_ANILINE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	TRIAZINE_DICHLORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	TRIAZINE_MONOCHLORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	ARMINES_AROMATIC_SECONDARY_1	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	calc_SEC_ALIPHATIC_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	NO_FG	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	ALDEHYDES	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	ALKYNES_TERMINAL	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	AMINES_ALIPHATIC_SECONDARY	1	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	AZIDE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	CARBOXYLIC_ACIDS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	THIOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	calc_THIOPHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	calc_NITRO	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	calc_PHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	SEC_FMOC	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	SULFONYL_CHLORIDES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	BORONICS_AROMATIC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	TERT_FMOC	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	ESTERS_METHYL_ETHYL	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	NITRO_FLUORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	SEC_ANILINE_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	TERT_ANILINE_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	O_NITRO_SEC_ANILINE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	calc_ARYLHALIDE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	AMINES_ALIPHATIC_PRIMARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	calc_AMINES_AROMATIC_PRIMARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	ISOCYANATES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	ISOTHIOCYANATES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	O_IODO_ANILINE	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	HYDRAZINES_PRIMARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	A_H_KETONES	1	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	KETONES_A_BROMO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	YNONES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	AMIDINES_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	AMIDINES_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	GUANIDINES_SECONDARY_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	GUANIDINES_SECONDARY_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	GUANIDINES_TERTIARY_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	GUANIDINES_TERTIARY_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	calc_NAS_ELECTROPHILE	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	O_AMINO_PHENOLS	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	O_AMINO_THIOPHENOLS	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	O_IODO_SEC_ANILINE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	TRIAZINE_DICHLORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	TRIAZINE_MONOCHLORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	ARMINES_AROMATIC_SECONDARY_1	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	calc_SEC_ALIPHATIC_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	NO_FG	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	ALDEHYDES	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	ALKYNES_TERMINAL	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	AMINES_ALIPHATIC_SECONDARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	AZIDE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	CARBOXYLIC_ACIDS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	THIOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	calc_THIOPHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	calc_NITRO	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	calc_PHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	SEC_FMOC	1	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	SULFONYL_CHLORIDES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	BORONICS_AROMATIC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	TERT_FMOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	ESTERS_METHYL_ETHYL	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	NITRO_FLUORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	SEC_ANILINE_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	TERT_ANILINE_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	O_NITRO_SEC_ANILINE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	calc_ARYLHALIDE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	AMINES_ALIPHATIC_PRIMARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	calc_AMINES_AROMATIC_PRIMARY	1	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	ISOCYANATES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	ISOTHIOCYANATES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	O_IODO_ANILINE	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	HYDRAZINES_PRIMARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	A_H_KETONES	1	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	KETONES_A_BROMO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	YNONES	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	AMIDINES_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	AMIDINES_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	GUANIDINES_SECONDARY_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	GUANIDINES_SECONDARY_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	GUANIDINES_TERTIARY_PRIMARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	GUANIDINES_TERTIARY_SECONDARY	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	calc_NAS_ELECTROPHILE	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	O_AMINO_PHENOLS	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	O_AMINO_THIOPHENOLS	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	O_IODO_SEC_ANILINE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	TRIAZINE_DICHLORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	TRIAZINE_MONOCHLORO	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	ARMINES_AROMATIC_SECONDARY_1	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	calc_SEC_ALIPHATIC_BOC	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	NO_FG	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	ALDEHYDES	0	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	ALKYNES_TERMINAL	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	AMINES_ALIPHATIC_SECONDARY	1	1
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	AZIDE	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	CARBOXYLIC_ACIDS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	THIOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	calc_THIOPHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	calc_NITRO	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	calc_PHENOLS	0	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	SEC_FMOC	1	0
